year,month,state,value
2021,March,Connecticut,7.2
2021,February,Connecticut,7.6
2021,January,Connecticut,7.6
2020,December,Connecticut,6.7
2020,November,Connecticut,6.8
2020,October,Connecticut,7.4
2020,September,Connecticut,8.6
2020,August,Connecticut,9.4
2020,July,Connecticut,12.0
2020,June,Connecticut,11.5
2020,May,Connecticut,11.9
2020,April,Connecticut,7.7
2020,March,Connecticut,4.7
2020,February,Connecticut,4.2
2020,January,Connecticut,4.3
2023,October,Delaware,4.2
2023,September,Delaware,4.1
2023,August,Delaware,4.6
2023,July,Delaware,4.3
2023,June,Delaware,4.4
2023,May,Delaware,3.9
2023,April,Delaware,3.9
2023,March,Delaware,4.3
2023,February,Delaware,4.6
2023,January,Delaware,4.7
2022,December,Delaware,4.2
2022,November,Delaware,4.2
2022,October,Delaware,4.5
2022,September,Delaware,4.2
2022,August,Delaware,4.8
2022,July,Delaware,4.6
2022,June,Delaware,4.8
2022,May,Delaware,4.1
2022,April,Delaware,4.2
2022,March,Delaware,4.5
2022,February,Delaware,4.8
2022,January,Delaware,5.2
2021,December,Delaware,4.1
2021,November,Delaware,4.3
2021,October,Delaware,4.8
2021,September,Delaware,5.0
2021,August,Delaware,5.7
2021,July,Delaware,5.9
2021,June,Delaware,6.3
2021,May,Delaware,5.4
2021,April,Delaware,5.9
2021,March,Delaware,6.2
2021,February,Delaware,6.2
2021,January,Delaware,6.1
2020,December,Delaware,5.2
2020,November,Delaware,4.6
2020,October,Delaware,4.7
2020,September,Delaware,7.7
2020,August,Delaware,7.4
2020,July,Delaware,8.0
2020,June,Delaware,13.0
2020,May,Delaware,13.4
2020,April,Delaware,12.7
2020,March,Delaware,5.6
2020,February,Delaware,3.7
2020,January,Delaware,4.0
2023,October,District of Columbia,5.2
2023,September,District of Columbia,5.3
2023,August,District of Columbia,5.5
2023,July,District of Columbia,5.3
2023,June,District of Columbia,5.5
2023,May,District of Columbia,4.9
2023,April,District of Columbia,4.5
2023,March,District of Columbia,5.1
2023,February,District of Columbia,4.9
2023,January,District of Columbia,4.9
2022,December,District of Columbia,4.1
2022,November,District of Columbia,4.1
2022,October,District of Columbia,4.3
2022,September,District of Columbia,4.1
2022,August,District of Columbia,4.6
2022,July,District of Columbia,4.7
2022,June,District of Columbia,4.9
2022,May,District of Columbia,4.3
2022,April,District of Columbia,4.2
2022,March,District of Columbia,5.1
2022,February,District of Columbia,5.6
2022,January,District of Columbia,6.3
2021,December,District of Columbia,5.3
2021,November,District of Columbia,6.1
2021,October,District of Columbia,6.4
2021,September,District of Columbia,6.7
2021,August,District of Columbia,7.4
2021,July,District of Columbia,7.6
2021,June,District of Columbia,8.0
2021,May,District of Columbia,6.7
2021,April,District of Columbia,6.6
2021,March,District of Columbia,6.9
2021,February,District of Columbia,7.0
2021,January,District of Columbia,6.6
2020,December,District of Columbia,7.2
2020,November,District of Columbia,8.0
2020,October,District of Columbia,8.2
2020,September,District of Columbia,8.8
2020,August,District of Columbia,8.5
2020,July,District of Columbia,9.2
2020,June,District of Columbia,8.8
2020,May,District of Columbia,8.7
2020,April,District of Columbia,10.4
2020,March,District of Columbia,6.3
2020,February,District of Columbia,5.3
2020,January,District of Columbia,5.5
2023,October,Florida,3.0
2023,September,Florida,3.0
2023,August,Florida,3.1
2023,July,Florida,3.1
2023,June,Florida,3.0
2023,May,Florida,2.7
2023,April,Florida,2.3
2023,March,Florida,2.6
2023,February,Florida,2.5
2023,January,Florida,2.6
2022,December,Florida,2.3
2022,November,Florida,2.6
2022,October,Florida,2.8
2022,September,Florida,2.7
2022,August,Florida,3.0
2022,July,Florida,3.0
2022,June,Florida,3.1
2022,May,Florida,2.7
2022,April,Florida,2.7
2022,March,Florida,3.0
2022,February,Florida,3.3
2022,January,Florida,3.7
2021,December,Florida,3.1
2021,November,Florida,3.6
2021,October,Florida,3.9
2021,September,Florida,4.2
2021,August,Florida,4.7
2021,July,Florida,4.9
2021,June,Florida,5.2
2021,May,Florida,4.7
2021,April,Florida,4.9
2021,March,Florida,5.2
2021,February,Florida,5.5
2021,January,Florida,6.1
2020,December,Florida,6.2
2020,November,Florida,6.5
2020,October,Florida,7.0
2020,September,Florida,8.3
2020,August,Florida,8.9
2020,July,Florida,12.2
2020,June,Florida,11.9
2020,May,Florida,14.2
2020,April,Florida,12.8
2020,March,Florida,4.2
2020,February,Florida,2.7
2020,January,Florida,3.1
2023,October,Georgia,3.5
2023,September,Georgia,3.4
2023,August,Georgia,3.8
2023,July,Georgia,3.3
2023,June,Georgia,3.5
2023,May,Georgia,3.4
2023,April,Georgia,2.7
2023,March,Georgia,3.3
2023,February,Georgia,3.3
2023,January,Georgia,3.4
2022,December,Georgia,2.8
2022,November,Georgia,2.8
2022,October,Georgia,3.1
2022,September,Georgia,2.8
2022,August,Georgia,3.4
2022,July,Georgia,3.1
2022,June,Georgia,3.4
2022,May,Georgia,2.9
2022,April,Georgia,2.6
2022,March,Georgia,3.0
2022,February,Georgia,3.3
2022,January,Georgia,3.4
2021,December,Georgia,2.9
2021,November,Georgia,3.0
2021,October,Georgia,3.3
2021,September,Georgia,3.3
2021,August,Georgia,3.9
2021,July,Georgia,3.9
2021,June,Georgia,4.5
2021,May,Georgia,4.0
2021,April,Georgia,4.0
2021,March,Georgia,4.3
2021,February,Georgia,4.6
2021,January,Georgia,5.0
2020,December,Georgia,5.1
2020,November,Georgia,4.9
2020,October,Georgia,5.3
2020,September,Georgia,6.3
2020,August,Georgia,6.8
2020,July,Georgia,8.0
2020,June,Georgia,8.6
2020,May,Georgia,9.8
2020,April,Georgia,11.9
2020,March,Georgia,4.1
2020,February,Georgia,3.6
2020,January,Georgia,3.7
2023,October,Hawaii,3.1
2023,September,Hawaii,3.3
2023,August,Hawaii,3.1
2023,July,Hawaii,2.7
2023,June,Hawaii,3.3
2023,May,Hawaii,2.6
2023,April,Hawaii,2.7
2023,March,Hawaii,3.0
2023,February,Hawaii,3.2
2023,January,Hawaii,3.1
2022,December,Hawaii,3.5
2022,November,Hawaii,3.9
2022,October,Hawaii,3.8
2022,September,Hawaii,3.7
2022,August,Hawaii,3.7
2022,July,Hawaii,3.6
2022,June,Hawaii,4.0
2022,May,Hawaii,3.2
2022,April,Hawaii,3.1
2022,March,Hawaii,3.0
2022,February,Hawaii,3.1
2022,January,Hawaii,3.3
2021,December,Hawaii,2.8
2021,November,Hawaii,3.2
2021,October,Hawaii,3.4
2021,September,Hawaii,4.2
2021,August,Hawaii,4.9
2021,July,Hawaii,5.6
2021,June,Hawaii,7.0
2021,May,Hawaii,6.7
2021,April,Hawaii,7.6
2021,March,Hawaii,8.2
2021,February,Hawaii,9.0
2021,January,Hawaii,9.5
2020,December,Hawaii,10.0
2020,November,Hawaii,10.5
2020,October,Hawaii,11.4
2020,September,Hawaii,13.9
2020,August,Hawaii,13.1
2020,July,Hawaii,15.9
2020,June,Hawaii,17.9
2020,May,Hawaii,21.0
2020,April,Hawaii,22.2
2020,March,Hawaii,2.1
2020,February,Hawaii,2.0
2020,January,Hawaii,2.3
2023,October,Idaho,2.9
2023,September,Idaho,2.9
2023,August,Idaho,3.2
2023,July,Idaho,3.3
2023,June,Idaho,2.9
2023,May,Idaho,2.7
2023,April,Idaho,2.6
2023,March,Idaho,3.1
2023,February,Idaho,3.2
2023,January,Idaho,3.1
2022,December,Idaho,2.4
2022,November,Idaho,2.5
2022,October,Idaho,2.3
2022,September,Idaho,2.3
2022,August,Idaho,2.6
2022,July,Idaho,2.6
2022,June,Idaho,2.6
2022,May,Idaho,2.3
2022,April,Idaho,2.5
2022,March,Idaho,3.0
2022,February,Idaho,3.2
2022,January,Idaho,3.5
2021,December,Idaho,2.5
2021,November,Idaho,2.7
2021,October,Idaho,2.6
2021,September,Idaho,2.7
2021,August,Idaho,3.2
2021,July,Idaho,3.4
2021,June,Idaho,3.6
2021,May,Idaho,3.3
2021,April,Idaho,3.8
2021,March,Idaho,4.4
2021,February,Idaho,4.8
2021,January,Idaho,4.8
2020,December,Idaho,4.1
2020,November,Idaho,4.0
2020,October,Idaho,3.7
2020,September,Idaho,4.5
2020,August,Idaho,4.8
2020,July,Idaho,6.5
2020,June,Idaho,7.5
2020,May,Idaho,9.2
2020,April,Idaho,11.5
2020,March,Idaho,3.6
2020,February,Idaho,3.2
2020,January,Idaho,3.5
2023,October,Illinois,4.5
2023,September,Illinois,4.9
2023,August,Illinois,5.3
2023,July,Illinois,4.5
2023,June,Illinois,4.5
2023,May,Illinois,3.6
2023,April,Illinois,3.7
2023,March,Illinois,4.3
2023,February,Illinois,4.5
2023,January,Illinois,4.7
2022,December,Illinois,4.0
2022,November,Illinois,4.2
2022,October,Illinois,4.2
2022,September,Illinois,4.2
2022,August,Illinois,4.8
2022,July,Illinois,4.7
2022,June,Illinois,4.8
2022,May,Illinois,4.4
2022,April,Illinois,4.3
2022,March,Illinois,4.7
2022,February,Illinois,5.1
2022,January,Illinois,5.4
2021,December,Illinois,4.2
2021,November,Illinois,4.3
2021,October,Illinois,4.8
2021,September,Illinois,5.1
2021,August,Illinois,6.1
2021,July,Illinois,6.6
2021,June,Illinois,7.2
2021,May,Illinois,6.1
2021,April,Illinois,6.5
2021,March,Illinois,6.7
2021,February,Illinois,7.3
2021,January,Illinois,7.8
2020,December,Illinois,7.7
2020,November,Illinois,7.3
2020,October,Illinois,7.4
2020,September,Illinois,8.9
2020,August,Illinois,9.7
2020,July,Illinois,12.0
2020,June,Illinois,13.1
2020,May,Illinois,14.8
2020,April,Illinois,17.7
2020,March,Illinois,5.6
2020,February,Illinois,3.9
2020,January,Illinois,4.1
2023,October,Indiana,3.3
2023,September,Indiana,3.3
2023,August,Indiana,3.7
2023,July,Indiana,4.0
2023,June,Indiana,3.7
2023,May,Indiana,3.5
2023,April,Indiana,2.6
2023,March,Indiana,3.5
2023,February,Indiana,3.5
2023,January,Indiana,3.4
2022,December,Indiana,2.6
2022,November,Indiana,2.9
2022,October,Indiana,3.0
2022,September,Indiana,2.5
2022,August,Indiana,3.2
2022,July,Indiana,3.3
2022,June,Indiana,3.4
2022,May,Indiana,2.8
2022,April,Indiana,2.5
2022,March,Indiana,3.2
2022,February,Indiana,3.4
2022,January,Indiana,3.3
2021,December,Indiana,2.5
2021,November,Indiana,2.8
2021,October,Indiana,3.0
2021,September,Indiana,3.2
2021,August,Indiana,3.6
2021,July,Indiana,4.1
2021,June,Indiana,4.6
2021,May,Indiana,4.1
2021,April,Indiana,4.0
2021,March,Indiana,4.8
2021,February,Indiana,4.9
2021,January,Indiana,5.2
2020,December,Indiana,4.5
2020,November,Indiana,5.0
2020,October,Indiana,5.4
2020,September,Indiana,6.1
2020,August,Indiana,6.8
2020,July,Indiana,9.3
2020,June,Indiana,10.2
2020,May,Indiana,12.7
2020,April,Indiana,16.4
2020,March,Indiana,4.3
2020,February,Indiana,3.6
2020,January,Indiana,3.7
2023,October,Iowa,3.2
2023,September,Iowa,2.9
2023,August,Iowa,3.3
2023,July,Iowa,3.1
2023,June,Iowa,3.0
2023,May,Iowa,2.6
2023,April,Iowa,2.3
2023,March,Iowa,3.0
2023,February,Iowa,3.3
2023,January,Iowa,3.5
2022,December,Iowa,2.9
2022,November,Iowa,2.6
2022,October,Iowa,2.6
2022,September,Iowa,2.5
2022,August,Iowa,2.9
2022,July,Iowa,2.8
2022,June,Iowa,2.7
2022,May,Iowa,2.3
2022,April,Iowa,2.1
2022,March,Iowa,2.8
2022,February,Iowa,3.0
2022,January,Iowa,3.6
2021,December,Iowa,2.8
2021,November,Iowa,2.6
2021,October,Iowa,2.8
2021,September,Iowa,3.0
2021,August,Iowa,3.7
2021,July,Iowa,3.9
2021,June,Iowa,4.5
2021,May,Iowa,4.0
2021,April,Iowa,4.1
2021,March,Iowa,4.5
2021,February,Iowa,4.8
2021,January,Iowa,5.2
2020,December,Iowa,4.4
2020,November,Iowa,3.8
2020,October,Iowa,3.4
2020,September,Iowa,4.3
2020,August,Iowa,4.8
2020,July,Iowa,5.8
2020,June,Iowa,6.9
2020,May,Iowa,8.3
2020,April,Iowa,10.6
2020,March,Iowa,3.4
2020,February,Iowa,2.9
2020,January,Iowa,3.4
2023,October,Kansas,3.1
2023,September,Kansas,2.8
2023,August,Kansas,3.2
2023,July,Kansas,3.1
2023,June,Kansas,3.0
2023,May,Kansas,2.7
2023,April,Kansas,2.8
2023,March,Kansas,3.0
2023,February,Kansas,3.2
2023,January,Kansas,2.9
2022,December,Kansas,2.4
2022,November,Kansas,2.5
2022,October,Kansas,2.7
2022,September,Kansas,2.6
2022,August,Kansas,3.1
2022,July,Kansas,3.3
2022,June,Kansas,2.8
2022,May,Kansas,2.4
2022,April,Kansas,2.1
2022,March,Kansas,2.6
2022,February,Kansas,2.7
2022,January,Kansas,2.7
2021,December,Kansas,2.0
2021,November,Kansas,2.2
2021,October,Kansas,2.6
2021,September,Kansas,2.8
2021,August,Kansas,3.5
2021,July,Kansas,4.2
2021,June,Kansas,4.0
2021,May,Kansas,3.5
2021,April,Kansas,3.3
2021,March,Kansas,3.6
2021,February,Kansas,3.9
2021,January,Kansas,4.2
2020,December,Kansas,4.0
2020,November,Kansas,4.1
2020,October,Kansas,4.3
2020,September,Kansas,5.0
2020,August,Kansas,5.8
2020,July,Kansas,7.3
2020,June,Kansas,7.4
2020,May,Kansas,9.6
2020,April,Kansas,12.1
2020,March,Kansas,3.8
2020,February,Kansas,3.3
2020,January,Kansas,3.3
2023,October,Kentucky,3.8
2023,September,Kentucky,4.1
2023,August,Kentucky,4.3
2023,July,Kentucky,4.6
2023,June,Kentucky,4.5
2023,May,Kentucky,3.9
2023,April,Kentucky,3.3
2023,March,Kentucky,3.8
2023,February,Kentucky,4.6
2023,January,Kentucky,4.2
2022,December,Kentucky,3.3
2022,November,Kentucky,3.4
2022,October,Kentucky,3.8
2022,September,Kentucky,3.5
2022,August,Kentucky,3.9
2022,July,Kentucky,4.4
2022,June,Kentucky,4.4
2022,May,Kentucky,3.8
2022,April,Kentucky,3.4
2022,March,Kentucky,4.4
2022,February,Kentucky,4.3
2022,January,Kentucky,4.5
2021,December,Kentucky,3.6
2021,November,Kentucky,3.6
2021,October,Kentucky,4.0
2021,September,Kentucky,4.1
2021,August,Kentucky,4.1
2021,July,Kentucky,5.0
2021,June,Kentucky,5.5
2021,May,Kentucky,4.1
2021,April,Kentucky,4.2
2021,March,Kentucky,4.9
2021,February,Kentucky,5.0
2021,January,Kentucky,5.1
2020,December,Kentucky,4.6
2020,November,Kentucky,4.1
2020,October,Kentucky,4.4
2020,September,Kentucky,4.8
2020,August,Kentucky,4.8
2020,July,Kentucky,6.1
2020,June,Kentucky,5.8
2020,May,Kentucky,12.9
2020,April,Kentucky,16.1
2020,March,Kentucky,5.2
2020,February,Kentucky,4.4
2020,January,Kentucky,4.5
2023,October,Louisiana,3.6
2023,September,Louisiana,3.6
2023,August,Louisiana,3.4
2023,July,Louisiana,3.3
2023,June,Louisiana,4.4
2023,May,Louisiana,3.9
2023,April,Louisiana,3.2
2023,March,Louisiana,3.3
2023,February,Louisiana,3.5
2023,January,Louisiana,3.6
2022,December,Louisiana,3.2
2022,November,Louisiana,3.2
2022,October,Louisiana,3.2
2022,September,Louisiana,3.5
2022,August,Louisiana,3.9
2022,July,Louisiana,4.2
2022,June,Louisiana,4.5
2022,May,Louisiana,3.5
2022,April,Louisiana,3.2
2022,March,Louisiana,3.5
2022,February,Louisiana,3.7
2022,January,Louisiana,4.2
2021,December,Louisiana,3.3
2021,November,Louisiana,3.8
2021,October,Louisiana,4.2
2021,September,Louisiana,4.9
2021,August,Louisiana,5.4
2021,July,Louisiana,6.2
2021,June,Louisiana,7.0
2021,May,Louisiana,6.1
2021,April,Louisiana,6.2
2021,March,Louisiana,6.1
2021,February,Louisiana,6.5
2021,January,Louisiana,7.2
2020,December,Louisiana,6.8
2020,November,Louisiana,6.9
2020,October,Louisiana,7.8
2020,September,Louisiana,9.2
2020,August,Louisiana,9.0
2020,July,Louisiana,11.1
2020,June,Louisiana,11.7
2020,May,Louisiana,12.5
2020,April,Louisiana,13.0
2020,March,Louisiana,6.8
2020,February,Louisiana,3.9
2020,January,Louisiana,4.9
2023,October,Maine,2.6
2023,September,Maine,2.5
2023,August,Maine,2.5
2023,July,Maine,2.5
2023,June,Maine,2.5
2023,May,Maine,2.6
2023,April,Maine,2.4
2023,March,Maine,3.0
2023,February,Maine,3.1
2023,January,Maine,2.8
2022,December,Maine,2.7
2022,November,Maine,2.9
2022,October,Maine,2.5
2022,September,Maine,2.4
2022,August,Maine,2.2
2022,July,Maine,2.5
2022,June,Maine,2.7
2022,May,Maine,2.8
2022,April,Maine,3.0
2022,March,Maine,3.5
2022,February,Maine,3.9
2022,January,Maine,4.3
2021,December,Maine,3.6
2021,November,Maine,3.9
2021,October,Maine,3.9
2021,September,Maine,3.9
2021,August,Maine,4.3
2021,July,Maine,4.7
2021,June,Maine,5.0
2021,May,Maine,4.9
2021,April,Maine,5.2
2021,March,Maine,5.4
2021,February,Maine,5.5
2021,January,Maine,5.4
2020,December,Maine,3.9
2020,November,Maine,3.3
2020,October,Maine,3.0
2020,September,Maine,3.0
2020,August,Maine,3.6
2020,July,Maine,6.7
2020,June,Maine,6.5
2020,May,Maine,9.6
2020,April,Maine,9.3
2020,March,Maine,4.4
2020,February,Maine,3.9
2020,January,Maine,3.8
2023,October,Maryland,2.1
2023,September,Maryland,1.8
2023,August,Maryland,1.8
2023,July,Maryland,1.7
2023,June,Maryland,1.7
2023,May,Maryland,2.2
2023,April,Maryland,1.9
2023,March,Maryland,2.3
2023,February,Maryland,3.1
2023,January,Maryland,3.0
2022,December,Maryland,2.5
2022,November,Maryland,2.8
2022,October,Maryland,3.1
2022,September,Maryland,2.9
2022,August,Maryland,3.5
2022,July,Maryland,3.4
2022,June,Maryland,3.7
2022,May,Maryland,3.1
2022,April,Maryland,2.9
2022,March,Maryland,3.3
2022,February,Maryland,3.7
2022,January,Maryland,3.8
2021,December,Maryland,3.2
2021,November,Maryland,3.9
2021,October,Maryland,4.2
2021,September,Maryland,4.5
2021,August,Maryland,5.5
2021,July,Maryland,5.6
2021,June,Maryland,6.3
2021,May,Maryland,5.7
2021,April,Maryland,5.6
2021,March,Maryland,6.1
2021,February,Maryland,6.4
2021,January,Maryland,6.7
2020,December,Maryland,6.3
2020,November,Maryland,6.3
2020,October,Maryland,6.5
2020,September,Maryland,7.0
2020,August,Maryland,7.0
2020,July,Maryland,7.8
2020,June,Maryland,8.1
2020,May,Maryland,9.3
2020,April,Maryland,8.8
2020,March,Maryland,4.3
2020,February,Maryland,3.4
2020,January,Maryland,3.4
2023,October,Massachusetts,2.6
2023,September,Massachusetts,2.5
2023,August,Massachusetts,2.9
2023,July,Massachusetts,2.9
2023,June,Massachusetts,2.8
2023,May,Massachusetts,2.3
2023,April,Massachusetts,2.4
2023,March,Massachusetts,3.9
2023,February,Massachusetts,4.2
2023,January,Massachusetts,4.1
2022,December,Massachusetts,3.3
2022,November,Massachusetts,3.3
2022,October,Massachusetts,3.4
2022,September,Massachusetts,3.5
2022,August,Massachusetts,3.9
2022,July,Massachusetts,3.9
2022,June,Massachusetts,3.9
2022,May,Massachusetts,3.6
2022,April,Massachusetts,3.5
2022,March,Massachusetts,3.9
2022,February,Massachusetts,4.3
2022,January,Massachusetts,4.6
